rep,district,number,,,
Daniel Alders (R),6,(512) 463-0584,,,E2.402
Alma A. Allen (D),131,(512) 463-0744,,,4N.10
Rafael Anchia (D),103,(512) 463-0746,,,1W.5
Trent Ashby (R),9,(512) 463-0508,,,E2.806
Jeff Barry (R),29,(512) 463-0707,,,E2.814
Cecil Bell (R),3,(512) 463-0650,,,E2.708
Keith Bell (R),4,(512) 463-0458,,,E2.508
Diego Bernal (D),123,(512) 463-0532,,,4N.6
Salman Bhojani (D),92,(512) 463-0522,,,E2.906
Greg Bonnen (R),24,(512) 463-0729,,,E2.502
Rhetta A. Bowers (D),113,(512) 463-0464,,,E2.214
John Bryant (D),114,(512) 463-0576,,,4S.3
Brad Buckley (R),54,(512) 463-0684,,,E2.510
John H. Bucy (D),136,(512) 463-0696,,,GN.9
Benjamin Bumgarner (R),63,(512) 463-0688,,,E1.310
Dustin Burrows (R),83,(512) 463-0542,,,2W.13
Angie Chen Button (R),112,(512) 463-0486,,,GW.7
Briscoe Cain (R),128,(512) 463-0733,,,E1.320
"Elizabeth ""Liz"" Campos (D)",119,(512) 463-0452,,,E2.422
Terry Canales (D),40,(512) 463-0426,,,4S.4
Giovanni Capriglione (R),98,(512) 463-0690,,,E1.506
Sheryl Cole (D),46,(512) 463-0506,,,E2.910
Nicole Collier (D),95,(512) 463-0716,,,3S.2
David Cook (R),96,(512) 463-0374,,,E1.402
Philip Cortez (D),117,(512) 463-0269,,,4N.3
Tom Craddick (R),82,(512) 463-0500,,,1W.9
Charles Cunningham (R),127,(512) 463-0520,,,E2.410
Pat Curry (R),56,(512) 463-0135,,,E1.512
Drew Darby (R),72,(512) 463-0331,,,GW.12
Aicha Davis (D),109,(512) 463-0953,,,E2.302
Yvonne Davis (D),111,(512) 463-0598,,,4N.9
Jay Dean (R),7,(512) 463-0750,,,GN.11
Mano DeAyala (R),133,(512) 463-0514,,,E1.318
Mark Dorazio (R),122,(512) 463-0646,,,E1.406
Harold V. Dutton (D),142,(512) 463-0510,,,3N.5
Paul Dyson (R),14,(512) 463-0698,,,E2.702
Caroline Fairly (R),87,(512) 463-0470,,,E2.816
LuLu Flores (D),51,(512) 463-0674,,,E2.310
James Frank (R),69,(512) 463-0534,,,1N.9
Erin Elizabeth Gamez (D),38,(512) 463-0606,,,E1.510
Josey Garcia (D),124,(512) 463-0634,,,E2.904
Linda Garcia (D),107,(512) 463-0244,,,E2.716
Cassandra Garcia Hernandez (D),115,(512) 463-0468,,,E2.712
Gary Gates (R),28,(512) 463-0657,,,E2.322
Stan Gerdes (R),17,(512) 463-0682,,,E2.604
Charlie L. Geren (R),99,(512) 463-0610,,,GW.15
Barbara Gervin-Hawkins (D),120,(512) 463-0708,,,GN.12
Jessica Gonz?lez (D),104,(512) 463-0408,,,E2.808
Mary E. Gonz?lez (D),75,(512) 463-0613,,,E1.504
Vikki Goodwin (D),47,(512) 463-0652,,,E2.318
"R. D. ""Bobby"" Guerra (D)",41,(512) 463-0578,,,GN.7
Ryan Guillen (R),31,(512) 463-0416,,,3N.6
Sam Harless (R),126,(512) 463-0496,,,GW.6
Cody Harris (R),8,(512) 463-0730,,,E2.504
Caroline Harris Davila (R),52,(512) 463-0670,,,E1.324
Brian E. Harrison (R),10,(512) 463-0516,,,E1.414
Richard Hayes (R),57,(512) 463-0556,,,E1.424
Cole Hefner (R),5,(512) 463-0271,,,E2.610
Ana Hernandez (D),143,(512) 463-0614,,,1W.11
Hillary Hickland (R),55,(512) 463-0630,,,E1.218
Gina Hinojosa (D),49,(512) 463-0668,,,4S.2
Janis Holt (R),18,(512) 463-0570,,,E1.416
Andy Hopper (R),64,(512) 463-0582,,,E2.316
Donna Howard (D),48,(512) 463-0631,,,GW.11
Lacey Hull (R),138,(512) 463-0727,,,E2.212
Todd Hunter (R),32,(512) 463-0672,,,1W.6
Carrie Isaac (R),73,(512) 463-0325,,,E1.306
Ann Johnson (D),134,(512) 463-0389,,,E2.718
"Jolanda ""Jo"" Jones (D)",147,(512) 463-0524,,,E2.908
Venton Jones (D),100,(512) 463-0586,,,E2.208
Helen Kerwin (R),58,(512) 463-0538,,,E1.216
Ken King (R),88,(512) 463-0736,,,GW.17
Stan Kitzman (R),85,(512) 463-0604,,,E2.606
Marc LaHood (R),121,(512) 463-0686,,,E2.804
Suleman Lalani (D),76,(512) 463-0596,,,E1.212
Stan Lambert (R),71,(512) 463-0718,,,E2.818
Brooks Landgraf (R),81,(512) 463-0546,,,E2.602
Jeff Leach (R),67,(512) 463-0544,,,1W.3
Terri Leo Wilson (R),23,(512) 463-0502,,,E2.810
Mitch Little (R),65,(512) 463-0478,,,E2.420
Oscar Longoria (D),35,(512) 463-0645,,,4N.4
Janie Lopez (R),37,(512) 463-0640,,,E1.422
Ray Lopez (D),125,(512) 463-0669,,,GW.4
AJ Louderback (R),30,(512) 463-0456,,,E1.418
David Lowe (R),91,(512) 463-0599,,,E1.412
J.M. Lozano (R),43,(512) 463-0463,,,1W.4
John Lujan (R),118,(512) 463-0714,,,E2.822
Shelley Luther (R),62,(512) 463-0297,,,E2.404
Christian Manuel (D),22,(512) 463-0662,,,E2.412
"Armando ""Mando"" Martinez (D)",39,(512) 463-0530,,,1N.10
Trey Martinez Fischer (D),116,(512) 463-0616,,,4S.5
Don McLaughlin (R),80,(512) 463-0194,,,E2.820
John McQueeney (R),97,(512) 463-0608,,,E2.720
Will Metcalf (R),16,(512) 463-0726,,,1N.12
Morgan Meyer (R),108,(512) 463-0367,,,GN.8
"Thresa ""Terry"" Meza (D)",105,(512) 463-0641,,,E1.204
Brent A. Money (R),2,(512) 463-0880,,,E2.414
Joe Moody (D),78,(512) 463-0728,,,GW.18
Christina Morales (D),145,(512) 463-0732,,,GN.10
Eddie Morales (D),74,(512) 463-0566,,,E2.406
Penny Morales Shaw (D),148,(512) 463-0620,,,E2.710
Matt Morgan (R),26,(512) 463-0710,,,E2. 802
Sergio Mu?oz (D),36,(512) 463-0704,,,1N.8
Candy Noble (R),89,(512) 463-0186,,,E1.508
Mike Olcott (R),60,(512) 463-0656,,,E2.704
Tom Oliverson (R),130,(512) 463-0661,,,E2.408
Claudia Ordaz (D),79,(512) 463-0622,,,E2.706
Angelia Orr (R),13,(512) 463-0600,,,E1.220
Jared Patterson (R),106,(512) 463-0694,,,E2.608
Dennis Paul (R),129,(512) 463-0734,,,GS.2
Mary Ann Perez (D),144,(512) 463-0460,,,1N.7
Vincent Perez (D),77,(512) 463-0638,,,E2.312
Dade Phelan (R),21,(512) 463-0706,,,GW.8
Katrina Pierson (R),33,(512) 463-0484,,,E2.714
Mihaela E. Plesa (D),70,(512) 463-0356,,,E2.210
Richard Pena Raymond (D),42,(512) 463-0558,,,1W.2
Ron Reynolds (D),27,(512) 463-0494,,,4N.7
Keresa Richardson (R),61,(512) 463-0738,,,E2.416
Ana-Maria Rodriguez Ramos (D),102,(512) 463-0454,,,E2.204
Ramon Romero (D),90,(512) 463-0740,,,4S.6
Toni Rose (D),110,(512) 463-0664,,,4N.5
Jon E. Rosenthal (D),135,(512) 463-0722,,,E2.308
Nate Schatzline (R),93,(512) 463-0562,,,E1.410
Mike Schofield (R),132,(512) 463-0528,,,E2.418
Alan Schoolcraft (R),44,(512) 463-0602,,,E1.308
Matt Shaheen (R),66,(512) 463-0594,,,GS.6
Joanne Shofner (R),11,(512) 463-0592,,,E1.208
Lauren A. Simmons (D),146,(512) 463-0518,,,E2.314
Shelby Slawson (R),59,(512) 463-0628,,,E2.506
John T. Smithee (R),86,(512) 463-0702,,,1W.10
David Spiller (R),68,(512) 463-0526,,,E1.302
Valoree Swanson (R),150,(512) 463-0572,,,E1.408
James Talarico (D),50,(512) 463-0821,,,E2.902
Carl Tepper (R),84,(512) 463-0676,,,E1.316
Senfronia Thompson (D),141,(512) 463-0720,,,3S.6
Tony Tinderholt (R),94,(512) 463-0624,,,E1.420
Steve Toth (R),15,(512) 463-0797,,,E1.404
Ellen Troxclair (R),19,(512) 463-0490,,,E1.322
Chris Turner (D),101,(512) 463-0574,,,1N.5
Gary VanDeaver (R),1,(512) 463-0692,,,E1.304
Cody T. Vasut (R),25,(512) 463-0564,,,E1.314
Denise Villalobos (R),34,(512) 463-0462,,,E2.812
Wes Virdell (R),53,(512) 463-0536,,,E2.304
Hubert Vo (D),149,(512) 463-0568,,,4N.8
Armando L. Walle (D),140,(512) 463-0924,,,GW.16
Charlene Ward Johnson (D),139,(512) 463-0554,,,E2.320
Trey Wharton (R),12,(512) 463-0412,,,E1.312
Terry Wilson (R),20,(512) 463-0309,,,E2.722
Gene Wu (D),137,(512) 463-0492,,,GW.5
Erin Zwiener (D),45,(512) 463-0647,,,E2.306
